종목코드,종목명
031330.KQ,에스에이엠티
060540.KQ,에스에이티
056190.KQ,에스에프에이
246250.KQ,에스엘에스바이오
041510.KQ,에스엠
460870.KQ,에스엠씨지
007820.KQ,에스엠코어
464080.KQ,에스오에스랩
109610.KQ,에스와이
365330.KQ,에스와이스틸텍
019590.KQ,에스유앤피
306040.KQ,에스제이그룹
398120.KQ,에스지헬스케어
457940.KQ,에스케이증권제10호스팩
472230.KQ,에스케이증권제11호스팩
473000.KQ,에스케이증권제12호스팩
473950.KQ,에스케이증권제13호스팩
455910.KQ,에스케이증권제9호스팩
475660.KQ,에스켐
096630.KQ,에스코넥
069510.KQ,에스텍
234300.KQ,에스트래픽
039440.KQ,에스티아이
098660.KQ,에스티오
052020.KQ,에스티큐브
237690.KQ,에스티팜
050760.KQ,에스폴리텍
288620.KQ,에스퓨얼셀
443670.KQ,에스피소프트
317830.KQ,에스피시스템스
058610.KQ,에스피지
043340.KQ,에쎈테크
163280.KQ,에어레인
054630.KQ,에이디칩스
200710.KQ,에이디테크놀로지
475580.KQ,에이럭스
096690.KQ,에이루트
298380.KQ,에이비엘바이오
203400.KQ,에이비온
195990.KQ,에이비프로바이오
003800.KQ,에이스침대
088800.KQ,에이스테크
241840.KQ,에이스토리
364950.KQ,에이아이코리아
453860.KQ,에이에스텍
312610.KQ,에이에프더블류
172670.KQ,에이엘티
481070.KQ,에이유브랜즈
445090.KQ,에이직랜드
295310.KQ,에이치브이엠
072990.KQ,에이치시티
044990.KQ,에이치엔에스하이텍
239610.KQ,에이치엘사이언스
036170.KQ,에이치엠넥스
462020.KQ,에이치엠씨제6호스팩
477340.KQ,에이치엠씨제7호스팩
148930.KQ,에이치와이티씨
376270.KQ,에이치이엠파마
044780.KQ,에이치케이
357230.KQ,에이치피오
355690.KQ,에이텀
071670.KQ,에이테크솔루션
045660.KQ,에이텍
224110.KQ,에이텍모빌리티
021080.KQ,에이티넘인베스트
200470.KQ,에이팩트
262260.KQ,에이프로
397030.KQ,에이프릴바이오
230240.KQ,에치에프알
159910.KQ,에코글로우
230360.KQ,에코마케팅
038870.KQ,에코바이오
097780.KQ,에코볼트
448280.KQ,에코아이
101360.KQ,에코앤드림
128540.KQ,에코캡
086520.KQ,에코프로
247540.KQ,에코프로비엠
383310.KQ,에코프로에이치엔
038110.KQ,에코플라스틱
073540.KQ,에프알텍
064850.KQ,에프앤가이드
036810.KQ,에프에스티
173940.KQ,에프엔씨엔터
083500.KQ,에프엔에스테크
054940.KQ,엑사이엔씨
950130.KQ,엑세스바이오
373110.KQ,엑셀세라퓨틱스
205100.KQ,엑셈
356680.KQ,엑스게이트
070300.KQ,엑스큐어
317770.KQ,엑스페릭스
373200.KQ,엑스플러스
069920.KQ,엑시온그룹
092870.KQ,엑시콘
317870.KQ,엔바이오니아
067570.KQ,엔브이에이치코리아
236810.KQ,엔비티
333620.KQ,엔시스
101400.KQ,엔시트론
078860.KQ,엔에스이엔엠
440820.KQ,엔에이치스팩27호
451700.KQ,엔에이치스팩29호
466910.KQ,엔에이치스팩30호
481890.KQ,엔에이치스팩31호
265740.KQ,엔에프씨
354200.KQ,엔젠바이오
455900.KQ,엔젤로보틱스
419080.KQ,엔젯
208860.KQ,엔지스테크널러지
183490.KQ,엔지켐생명과학
182400.KQ,엔케이맥스
348370.KQ,엔켐
069410.KQ,엔텔스
227950.KQ,엔투텍
291230.KQ,엔피
048830.KQ,엔피케이
096870.KQ,엘디티
290650.KQ,엘앤씨바이오
156100.KQ,엘앤케이바이오
073110.KQ,엘엠에스
083310.KQ,엘오티베큠
037950.KQ,엘컴텍
489500.KQ,엘케이켐
170920.KQ,엘티씨
058630.KQ,엠게임
226590.KQ,엠디바이스
058970.KQ,엠로
169330.KQ,엠브레인
373170.KQ,엠아이큐브솔루션
179290.KQ,엠아이텍
009780.KQ,엠에스씨
123040.KQ,엠에스오토텍
432980.KQ,엠에프씨
413390.KQ,엠오티
032790.KQ,엠젠솔루션
033160.KQ,엠케이전자
347890.KQ,엠투아이
033310.KQ,엠투엔
259630.KQ,엠플러스
105550.KQ,엣지파운드리
060850.KQ,영림원소프트랩
143540.KQ,영우디에스피
265560.KQ,영화테크
036000.KQ,예림당
250930.KQ,예선테크
053280.KQ,예스24
122640.KQ,예스티
476040.KQ,오가노이드사이언스
900300.KQ,오가닉티코스메틱
045060.KQ,오공
192410.KQ,오늘이엔엠
080520.KQ,오디텍
039830.KQ,오로라
322310.KQ,오로스테크놀로지
046120.KQ,오르비텍
475830.KQ,오름테라퓨틱
014940.KQ,오리엔탈정공
065500.KQ,오리엔트정공
010470.KQ,오리콤
417860.KQ,오브젠
352910.KQ,오비고
053980.KQ,오상자이엘
036220.KQ,오상헬스케어
052420.KQ,오성첨단소재
052300.KQ,오션인더블유
039200.KQ,오스코텍
226400.KQ,오스테오닉
031510.KQ,오스템
368970.KQ,오에스피
138080.KQ,오이솔루션
080580.KQ,오킨스전자
067170.KQ,오텍
353590.KQ,오토앤
173130.KQ,오파스넷
440320.KQ,오픈놀
049480.KQ,오픈베이스
394280.KQ,오픈엣지테크놀로지
309930.KQ,오하임앤컴퍼니
476060.KQ,온코닉테라퓨틱스
382150.KQ,온코크로스
244460.KQ,올리패스
226950.KQ,올릭스
057540.KQ,옴니시스템
131030.KQ,옵투스제약
082210.KQ,옵트론텍
109080.KQ,옵티시스
380540.KQ,옵티코어
153710.KQ,옵티팜
432430.KQ,와이랩
338840.KQ,와이바이오로직스
122990.KQ,와이솔
232140.KQ,와이씨
112290.KQ,와이씨켐
065530.KQ,와이어블
067900.KQ,와이엔텍
007530.KQ,와이엠
155650.KQ,와이엠씨
273640.KQ,와이엠텍
251370.KQ,와이엠티
209640.KQ,와이제이링크
096250.KQ,와이즈넛
273060.KQ,와이즈버즈
019210.KQ,와이지-원
122870.KQ,와이지엔터테인먼트
079000.KQ,와토스코리아
403490.KQ,우듬지팜
032820.KQ,우리기술
041190.KQ,우리기술투자
115440.KQ,우리넷
046970.KQ,우리로
082850.KQ,우리바이오
215360.KQ,우리산업
072470.KQ,우리산업홀딩스
073560.KQ,우리손에프앤지
037400.KQ,우리엔터프라이즈
153490.KQ,우리이앤엘
101170.KQ,우림피티에스
066590.KQ,우수AMS
103840.KQ,우양
101970.KQ,우양에이치씨
046940.KQ,우원개발
215380.KQ,우정바이오
065680.KQ,우주일렉트로
018620.KQ,우진비앤지
457550.KQ,우진엔텍
396470.KQ,워트
307280.KQ,원바이오젠
032940.KQ,원익
240810.KQ,원익IPS
074600.KQ,원익QnC
104830.KQ,원익머트리얼즈
014190.KQ,원익큐브
217820.KQ,원익피앤이
030530.KQ,원익홀딩스
012620.KQ,원일특강
136150.KQ,원일티엔아이
382840.KQ,원준
336570.KQ,원텍
376980.KQ,원티드랩
008370.KQ,원풍
008290.KQ,원풍물산
101160.KQ,월덱스
336060.KQ,웨이버스
095270.KQ,웨이브일렉트로
289930.KQ,웨이비스
065950.KQ,웰크론
076080.KQ,웰크론한텍
043590.KQ,웰킵스하이텍
196700.KQ,웹스
069080.KQ,웹젠
053580.KQ,웹케시
479960.KQ,위너스
377460.KQ,위니아에이드
044340.KQ,위닉스
330350.KQ,위더스제약
348350.KQ,위드텍
112040.KQ,위메이드
101730.KQ,위메이드맥스
123420.KQ,위메이드플레이
065370.KQ,위세아이텍
038620.KQ,위즈코프
299900.KQ,위지윅스튜디오
036090.KQ,위지트
459100.KQ,위츠
136540.KQ,윈스테크넷
097800.KQ,윈팩
192390.KQ,윈하이텍
335870.KQ,윙스풋
900340.KQ,윙입푸드
036200.KQ,유니셈
018000.KQ,유니슨
203450.KQ,유니온바이오메트릭스
011320.KQ,유니크
086390.KQ,유니테스트
241690.KQ,유니테크노
142210.KQ,유니트론텍
389680.KQ,유디엠텍
088340.KQ,유라클
048430.KQ,유라테크
206650.KQ,유바이오로직스
089850.KQ,유비벨록스
084440.KQ,유비온
032620.KQ,유비케어
264450.KQ,유비쿼스
078070.KQ,유비쿼스홀딩스
024800.KQ,유성티엔에스
054930.KQ,유신
069330.KQ,유아이디
049520.KQ,유아이엘
444920.KQ,유안타제11호스팩
446150.KQ,유안타제12호스팩
449020.KQ,유안타제13호스팩
450940.KQ,유안타제14호스팩
473050.KQ,유안타제15호스팩
474490.KQ,유안타제16호스팩
493790.KQ,유안타제17호스팩
263770.KQ,유에스티
388720.KQ,유일로보틱스
340930.KQ,유일에너테크
023410.KQ,유진기업
056080.KQ,유진로봇
468760.KQ,유진스팩10호
488060.KQ,유진스팩11호
084370.KQ,유진테크
240600.KQ,유진테크놀로지
221800.KQ,유투바이오
179900.KQ,유티아이
263050.KQ,유틸렉스
191410.KQ,육일씨엔에쓰
372170.KQ,윤성에프앤씨
146060.KQ,율촌
072770.KQ,율호
039020.KQ,이건홀딩스
067920.KQ,이글루
044960.KQ,이글벳
303530.KQ,이노뎁
296640.KQ,이노룰스
302430.KQ,이노메트리
462350.KQ,이노스페이스
274400.KQ,이노시뮬레이션
073490.KQ,이노와이어리스
215790.KQ,이노인스트루먼트
344860.KQ,이노진
088390.KQ,이녹스
272290.KQ,이녹스첨단소재
053350.KQ,이니텍
452400.KQ,이닉스
264850.KQ,이랜시스
054210.KQ,이랜텍
009730.KQ,이렘
065440.KQ,이루온
424870.KQ,이뮨온시아
115610.KQ,이미지스
478110.KQ,이베스트스팩6호
131400.KQ,이브이첨단소재
351330.KQ,이삭엔지니어링
080010.KQ,이상네트웍스
086890.KQ,이수앱지스
047560.KQ,이스트소프트
900110.KQ,이스트아시아홀딩스
239340.KQ,이스트에이드
067010.KQ,이씨에스
456070.KQ,이엔셀
102710.KQ,이엔에프테크놀로지
041520.KQ,이엘씨
063760.KQ,이엘피
123570.KQ,이엠넷
083470.KQ,이엠앤아이
095190.KQ,이엠코리아
091120.KQ,이엠텍
039030.KQ,이오테크닉스
294090.KQ,이오플로우
088290.KQ,이원컴포텍
353810.KQ,이지바이오
099750.KQ,이지케어텍
377330.KQ,이지트로닉스
035810.KQ,이지홀딩스
092130.KQ,이크레더블
096040.KQ,이트론
134060.KQ,이퓨쳐
001840.KQ,이화공영
024810.KQ,이화전기
041830.KQ,인바디
352940.KQ,인바이오
079950.KQ,인베니아
389470.KQ,인벤티지랩
277410.KQ,인산가
060150.KQ,인선이엔티
033230.KQ,인성정보
450520.KQ,인스웨이브
465480.KQ,인스피언
037330.KQ,인지디스플레
100030.KQ,인지소프트
211050.KQ,인카금융서비스
083640.KQ,인콘
064090.KQ,인크레더블버즈
216050.KQ,인크로스
049070.KQ,인탑스
119610.KQ,인터로조
017250.KQ,인터엠
051370.KQ,인터플렉스
064290.KQ,인텍플러스
189300.KQ,인텔리안테크
287840.KQ,인투셀
150840.KQ,인트로메딕
048530.KQ,인트론바이오
115310.KQ,인포바인
039290.KQ,인포뱅크
071200.KQ,인피니트헬스케어
101930.KQ,인화정공
333430.KQ,일승
068330.KQ,일신바이오
178780.KQ,일월지엠엘
019540.KQ,일지테크
094820.KQ,일진파워
950140.KQ,잉글우드랩
049550.KQ,잉크테크
389020.KQ,자람테크놀로지
254120.KQ,자비스
043910.KQ,자연과환경
234920.KQ,자이글
289220.KQ,자이언트스텝
174880.KQ,장원테크
049630.KQ,재영솔루텍
417840.KQ,저스템
110020.KQ,전진바이오팜
208140.KQ,정다운
040420.KQ,정상제이엘에스
045510.KQ,정원엔시스
217190.KQ,제너셈
095700.KQ,제넥신
122310.KQ,제노레이
361390.KQ,제노코
225220.KQ,제놀루션
123330.KQ,제닉
381620.KQ,제닉스
159580.KQ,제로투세븐
147830.KQ,제룡산업
033100.KQ,제룡전기
079370.KQ,제우스
054950.KQ,제이브이엠
023440.KQ,제이스코홀딩스
090470.KQ,제이스텍
137950.KQ,제이씨케미칼
033320.KQ,제이씨현시스템
417500.KQ,제이아이테크
204270.KQ,제이앤티씨
127120.KQ,제이에스링크
026040.KQ,제이에스티나
452160.KQ,제이엔비
126880.KQ,제이엔케이글로벌
322510.KQ,제이엘케이
033050.KQ,제이엠아이
094970.KQ,제이엠티
418550.KQ,제이오
420570.KQ,제이투케이바이오
089790.KQ,제이티
052670.KQ,제일바이오
412540.KQ,제일엠앤에스
199820.KQ,제일일렉트릭
038010.KQ,제일테크노스
080220.KQ,제주반도체
216080.KQ,제테마
337930.KQ,젝시믹스
229000.KQ,젠큐릭스
082270.KQ,젬백스
044060.KQ,조광ILI
034940.KQ,조아제약
067000.KQ,조이시티
033340.KQ,좋은사람들
036930.KQ,주성엔지니어링
072020.KQ,중앙백신
000440.KQ,중앙에너비스
051980.KQ,중앙첨단소재
228760.KQ,지노믹트리
314130.KQ,지놈앤컴퍼니
389030.KQ,지니너스
263860.KQ,지니언스
303030.KQ,지니틱스
036180.KQ,지더블유바이텍
208350.KQ,지란지교시큐리티
144510.KQ,지씨셀
340450.KQ,지씨지놈
358570.KQ,지아이이노베이션
382480.KQ,지아이텍
382800.KQ,지앤비에스 에코
051160.KQ,지어소프트
053050.KQ,지에스이
388610.KQ,지에프씨생명과학
119850.KQ,지엔씨에너지
065060.KQ,지엔코
204840.KQ,지엘팜텍
311320.KQ,지오엘리먼트
388050.KQ,지투파워
018120.KQ,진로발효
109820.KQ,진매트릭스
086060.KQ,진바이오텍
036890.KQ,진성티이씨
363250.KQ,진시스템
007370.KQ,진양제약
285800.KQ,진영
085660.KQ,차바이오텍
261780.KQ,차백신연구소
351870.KQ,차이커뮤니케이션
094850.KQ,참좋은여행
004650.KQ,창해에탄올
278280.KQ,천보
362320.KQ,청담글로벌
066360.KQ,체리부로
047820.KQ,초록뱀미디어
094360.KQ,칩스앤미디어
016920.KQ,카스
284620.KQ,카이노스메드
293490.KQ,카카오게임즈
140430.KQ,카티스
042000.KQ,카페24
313760.KQ,캐리
317530.KQ,캐리소프트
071850.KQ,캐스텍코리아
198080.KQ,캐프
210120.KQ,캔버스엔
050110.KQ,캠시스
452300.KQ,캡스톤파트너스
451760.KQ,컨텍
900310.KQ,컬러레이
078340.KQ,컴투스
063080.KQ,컴투스홀딩스
307930.KQ,컴퍼니케이
079190.KQ,케스피온
263700.KQ,케어랩스
214370.KQ,케어젠
221980.KQ,케이디켐
038530.KQ,케이바이오
192250.KQ,케이사인
431190.KQ,케이쓰리아이
115500.KQ,케이씨에스
089150.KQ,케이씨티
025880.KQ,케이씨피드
093320.KQ,케이아이엔엑스
093640.KQ,케이알엠
073010.KQ,케이에스피
105330.KQ,케이엔더블유
053080.KQ,케이엔솔
199430.KQ,케이엔알시스템
432470.KQ,케이엔에스
272110.KQ,케이엔제이
039420.KQ,케이엘넷
083550.KQ,케이엠
032500.KQ,케이엠더블유
225430.KQ,케이엠제약
102370.KQ,케이옥션
068100.KQ,케이웨더
106080.KQ,케이이엠텍
455180.KQ,케이지에이
036030.KQ,케이티알파
064820.KQ,케이프
024880.KQ,케이피에프
042040.KQ,케이피엠테크
054410.KQ,케이피티유
258610.KQ,케일럼
274090.KQ,켄코아에어로스페이스
089010.KQ,켐트로닉스
220260.KQ,켐트로스
052400.KQ,코나아이
402030.KQ,코난테크놀로지
391710.KQ,코닉오토메이션
046070.KQ,코다코
047770.KQ,코데즈컴바인
080530.KQ,코디
104540.KQ,코렌텍
027050.KQ,코리아나
190650.KQ,코리아에셋투자증권
123410.KQ,코리아에프티
036690.KQ,코맥스
049430.KQ,코메론
183300.KQ,코미코
041960.KQ,코미팜
089890.KQ,코세스
360350.KQ,코셈
082660.KQ,코스나인
222040.KQ,코스맥스엔비티
241710.KQ,코스메카코리아
355150.KQ,코스텍시스
166480.KQ,코아스템켐온
045970.KQ,코아시아
196450.KQ,코아시아씨엠
384470.KQ,코어라인소프트
102940.KQ,코오롱생명과학
950160.KQ,코오롱티슈진
033290.KQ,코웰패션
056360.KQ,코위버
282880.KQ,코윈테크
121850.KQ,코이즈
448710.KQ,코츠테크놀로지
126730.KQ,코칩
015710.KQ,코콤
052330.KQ,코텍
322780.KQ,코퍼스코리아
200130.KQ,콜마비앤에이치
294570.KQ,쿠콘
317690.KQ,퀀타매트릭스
227100.KQ,퀀텀온
432720.KQ,퀄리타스반도체
365270.KQ,큐라클
348080.KQ,큐라티스
060280.KQ,큐렉소
372320.KQ,큐로셀
051780.KQ,큐로홀딩스
115180.KQ,큐리언트
445680.KQ,큐리옥스바이오시스템즈
182360.KQ,큐브엔터
405100.KQ,큐알티
066310.KQ,큐에스아이
016600.KQ,큐캐피탈
355390.KQ,크라우드웍스
096240.KQ,크레버스
040350.KQ,크레오에스지
110790.KQ,크리스에프앤씨
900250.KQ,크리스탈신소재
045520.KQ,크린앤사이언스
214150.KQ,클래시스
466100.KQ,클로봇
237880.KQ,클리오
139670.KQ,키네마스터
475430.KQ,키스트론
487720.KQ,키움제10호스팩
489480.KQ,키움제11호스팩
446840.KQ,키움제8호스팩
054780.KQ,키이스트
256940.KQ,킵스파마
219130.KQ,타이거일렉
336680.KQ,탑런토탈솔루션
360070.KQ,탑머티리얼
065130.KQ,탑엔지니어링
134580.KQ,탑코미디어
023160.KQ,태광
323280.KQ,태성
053620.KQ,태양
044490.KQ,태웅
124560.KQ,태웅로직스
191420.KQ,테고사이언스
073640.KQ,테라사이언스
066700.KQ,테라젠이텍스
095610.KQ,테스
064520.KQ,테크엘
089030.KQ,테크윙
054450.KQ,텔레칩스
200230.KQ,텔콘RF제약
393210.KQ,토마토시스템
475960.KQ,토모큐브
215480.KQ,토박스코리아
051360.KQ,토비스
045340.KQ,토탈소프트
108230.KQ,톱텍
079970.KQ,투비소프트
199800.KQ,툴젠
417790.KQ,트루엔
290090.KQ,트윔
026150.KQ,특수건설
464280.KQ,티디에스팜
117730.KQ,티로보틱스
033830.KQ,티비씨
057680.KQ,티사이언티픽
204610.KQ,티쓰리
125020.KQ,티씨머티리얼즈
064760.KQ,티씨케이
246710.KQ,티앤알바이오팹
340570.KQ,티앤엘
043220.KQ,티에스넥스젠
277880.KQ,티에스아이
131290.KQ,티에스이
425420.KQ,티에프이
484810.KQ,티엑스알로보틱스
131100.KQ,티엔엔터테인먼트
356860.KQ,티엘비
321550.KQ,티움바이오
425040.KQ,티이엠씨
241790.KQ,티이엠씨씨엔에스
022220.KQ,티케이지애강
104480.KQ,티케이케미칼
081150.KQ,티플랙스
130740.KQ,티피씨글로벌
084730.KQ,팅크웨어
440110.KQ,파두
033540.KQ,파라텍
388870.KQ,파로스아이바이오
043200.KQ,파루
214450.KQ,파마리서치
208340.KQ,파멥신
177830.KQ,파버나인
037070.KQ,파세코
150900.KQ,파수
037030.KQ,파워넷
047310.KQ,파워로직스
368770.KQ,파이버프로
170790.KQ,파이오링크
049120.KQ,파인디앤씨
038950.KQ,파인디지털
387570.KQ,파인메딕스
441270.KQ,파인엠텍
106240.KQ,파인테크닉스
131760.KQ,파인텍
065690.KQ,파커스
140860.KQ,파크시스템스
091700.KQ,파트론
032800.KQ,판타지오
318010.KQ,팜스빌
027710.KQ,팜스토리
225590.KQ,패션플랫폼
054300.KQ,팬스타엔터프라이즈
068050.KQ,팬엔터테인먼트
222110.KQ,팬젠
271830.KQ,팸텍
263750.KQ,펄어비스
251970.KQ,펌텍코리아
168360.KQ,펨트론
087010.KQ,펩트론
064800.KQ,포니링크
119500.KQ,포메탈
389140.KQ,포바이포
105760.KQ,포스뱅크
009520.KQ,포스코엠텍
189690.KQ,포시에스
318020.KQ,포인트모바일
256630.KQ,포인트엔지니어링
331380.KQ,포커스에이아이
208710.KQ,포톤
472850.KQ,폰드그룹
039980.KQ,폴라리스AI
041910.KQ,폴라리스AI파마
234100.KQ,폴라리스세원
041020.KQ,폴라리스오피스
114630.KQ,폴라리스우노
290720.KQ,푸드나무
005670.KQ,푸드웰
094940.KQ,푸른기술
057880.KQ,푸른소나무
007330.KQ,푸른저축은행
093380.KQ,풍강
023900.KQ,풍국주정
371950.KQ,풍원정밀
370090.KQ,퓨런티어
445180.KQ,퓨릿
151910.KQ,퓨처코어
220100.KQ,퓨쳐켐
035200.KQ,프럼파스트
334970.KQ,프레스티지바이오로직스
321260.KQ,프로이천
053610.KQ,프로텍
303360.KQ,프로티아
377220.KQ,프롬바이오
335810.KQ,프리시젼바이오
053160.KQ,프리엠스
405000.KQ,플라즈맵
041590.KQ,플래스크
367000.KQ,플래티어
075130.KQ,플랜티넷
237820.KQ,플레이디
023770.KQ,플레이위드
019570.KQ,플루토스
300080.KQ,플리토
033790.KQ,피노
032580.KQ,피델릭스
051380.KQ,피씨디렉트
241820.KQ,피씨엘
452450.KQ,피아이이
237750.KQ,피앤씨테크
460940.KQ,피앤에스로보틱스
319660.KQ,피에스케이
031980.KQ,피에스케이홀딩스
002230.KQ,피에스텍
043370.KQ,피에이치에이
239890.KQ,피엔에이치테크
347740.KQ,피엔케이피부임상연구센타
137400.KQ,피엔티
257370.KQ,피엔티엠에스
147760.KQ,피엠티
128660.KQ,피제이메탈
006140.KQ,피제이전자
376180.KQ,피코그램
304840.KQ,피플바이오
087600.KQ,픽셀플러스
291810.KQ,핀텔
378340.KQ,필에너지
161580.KQ,필옵틱스
347770.KQ,핌스
163730.KQ,핑거
417180.KQ,핑거스토리
446750.KQ,하나26호스팩
448370.KQ,하나27호스팩
454750.KQ,하나28호스팩
454640.KQ,하나29호스팩
469880.KQ,하나30호스팩
469900.KQ,하나31호스팩
475240.KQ,하나32호스팩
475250.KQ,하나33호스팩
484130.KQ,하나34호스팩
299030.KQ,하나기술
067310.KQ,하나마이크론
166090.KQ,하나머티리얼즈
136480.KQ,하림
003380.KQ,하림지주
450330.KQ,하스
101670.KQ,하이드로리튬
365590.KQ,하이딥
149980.KQ,하이로닉
013030.KQ,하이록코리아
126700.KQ,하이비젼시스템
450050.KQ,하이제8호스팩
160190.KQ,하이젠알앤엠
221840.KQ,하이즈항공
106190.KQ,하이텍팜
065650.KQ,하이퍼코퍼레이션
066130.KQ,하츠
004590.KQ,한국가구
039340.KQ,한국경제TV
034950.KQ,한국기업평가
222980.KQ,한국맥널티
256840.KQ,한국비엔씨
219750.KQ,한국비티비
025550.KQ,한국선재
017890.KQ,한국알콜
080720.KQ,한국유니온제약
041460.KQ,한국전자인증
101680.KQ,한국정밀기계
039740.KQ,한국정보공학
053300.KQ,한국정보인증
025770.KQ,한국정보통신
458610.KQ,한국제12호스팩
464440.KQ,한국제13호스팩
479880.KQ,한국제15호스팩
062970.KQ,한국첨단소재
023760.KQ,한국캐피탈
054040.KQ,한국컴퓨터
021650.KQ,한국큐빅
032300.KQ,한국파마
037230.KQ,한국팩키지
448900.KQ,한국피아이엠
030520.KQ,한글과컴퓨터
052600.KQ,한네트
256150.KQ,한독크린텍
092460.KQ,한라IMS
452190.KQ,한빛레이저
047080.KQ,한빛소프트
452280.KQ,한선엔지니어링
066980.KQ,한성크린텍
114810.KQ,한솔아이원스
070590.KQ,한솔인티큐브
042520.KQ,한스바이오메드
430690.KQ,한싹
078350.KQ,한양디지텍
045100.KQ,한양이엔지
320000.KQ,한울반도체
091440.KQ,한울소재과학
276730.KQ,한울앤제주
024740.KQ,한일단조
005860.KQ,한일사료
007770.KQ,한일화학
198940.KQ,한주라이트메탈
058450.KQ,한주에이알티
107640.KQ,한중엔시에스
079170.KQ,한창산업
054920.KQ,한컴위드
457370.KQ,한켐
002680.KQ,한탑
098070.KQ,한텍
455310.KQ,한화플러스제4호스팩
498390.KQ,한화플러스제5호스팩
034810.KQ,해성산업
03481K.KQ,해성산업1우
059270.KQ,해성에어로보틱스
076610.KQ,해성옵틱스
220180.KQ,핸디소프트
900270.KQ,헝셩그룹
214180.KQ,헥토이노베이션
234340.KQ,헥토파이낸셜
084990.KQ,헬릭스미스
187660.KQ,현대ADM
170030.KQ,현대공업
319400.KQ,현대무벡스
048410.KQ,현대바이오
052260.KQ,현대바이오랜드
016790.KQ,현대사료
041440.KQ,현대에버다임
039010.KQ,현대에이치티
090850.KQ,현대이지웰
460930.KQ,현대힘스
092300.KQ,현우산업
138360.KQ,협진
011080.KQ,형지I&C
308100.KQ,형지글로벌
060560.KQ,홈센타홀딩스
064240.KQ,홈캐스트
039610.KQ,화성밸브
126640.KQ,화신정공
127980.KQ,화인써키트
061250.KQ,화일약품
097870.KQ,효성오앤비
290270.KQ,휴네시온
353190.KQ,휴럼
090710.KQ,휴림로봇
078590.KQ,휴림에이텍
205470.KQ,휴마시스
115160.KQ,휴맥스
028080.KQ,휴맥스홀딩스
175140.KQ,휴먼테크놀로지
200670.KQ,휴메딕스
065510.KQ,휴비츠
263920.KQ,휴엠앤씨
243070.KQ,휴온스
084110.KQ,휴온스글로벌
145020.KQ,휴젤
024060.KQ,흥구석유
010240.KQ,흥국
189980.KQ,흥국에프엔비
037440.KQ,희림
238490.KQ,힘스
